,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
269,model4_ensemble_rfxgsvc,15.0,0.0,1.0,5.0,0.5931754315535929, 10  48  64 204 318
270,model1_rf,15.0,5.0,1.0,5.0,0.6183059012444801, 10  48  64 204 453
271,model2_rf,15.0,5.0,1.0,5.0,0.6109193095142513, 10  48  64 204 453
272,model3_rf,15.0,5.0,1.0,5.0,0.6364512244078684, 10  48  64 204 453
273,model1_xg,15.0,5.0,1.0,5.0,0.6239261340826977, 10  48  64 204 453
274,model2_xg,15.0,5.0,1.0,5.0,0.6154154957848254, 10  48  64 204 453
275,model3_xg,15.0,5.0,1.0,5.0,0.5886792452830188, 10  48  64 204 453
276,model4_xg,15.0,5.0,1.0,5.0,0.6119630670413488, 10  48  64 204 453
277,model5_xg,15.0,5.0,1.0,5.0,0.6077880369329587, 10  48  64 204 453
278,model1_lr,15.0,5.0,1.0,5.0,0.5636692091529506, 10  48  64 204 453
279,model2_lr,15.0,5.0,1.0,5.0,0.5617824167001204, 10  48  64 204 453
280,model3_lr,15.0,5.0,1.0,5.0,0.5617824167001204, 10  48  64 204 453
281,model1_svc,15.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
282,model2_svc,15.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
283,model3_svc,15.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
284,model1_ensemble_rfxglr,15.0,5.0,1.0,5.0,0.6160979526294661, 10  48  64 204 453
285,model2_ensemble_rflrsvc,15.0,5.0,1.0,5.0,0.5771577679646729, 10  48  64 204 453
286,model3_ensemble_xglrsvc,15.0,5.0,1.0,5.0,0.6012043356081895, 10  48  64 204 453
287,model4_ensemble_rfxgsvc,15.0,5.0,1.0,5.0,0.6097149739060619, 10  48  64 204 453
288,model1_rf,15.0,15.0,1.0,5.0,0.5967884383781614, 10  64 204 453 481
289,model2_rf,15.0,15.0,1.0,5.0,0.5939783219590526, 10  64 204 453 481
290,model3_rf,15.0,15.0,1.0,5.0,0.6031714171015656, 10  64 204 453 481
291,model1_xg,15.0,15.0,1.0,5.0,0.581212364512244, 10  64 204 453 481
