,lr,n_est,max_depth,m,score,case,standardize
311,0.3,30.0,6.0,80.0,0.9498478671717903,case4,1.0
312,0.3,40.0,6.0,80.0,0.9512943430500567,case4,0.0
313,0.3,40.0,6.0,80.0,0.9503070990439598,case4,1.0
314,0.3,50.0,6.0,80.0,0.9532319080446182,case4,0.0
315,0.3,50.0,6.0,80.0,0.9538633181090515,case4,1.0
316,0.3,60.0,6.0,80.0,0.9564922194710797,case4,0.0
317,0.3,60.0,6.0,80.0,0.9551289409017079,case4,1.0
318,0.3,70.0,6.0,80.0,0.9567660401291048,case4,0.0
319,0.3,70.0,6.0,80.0,0.9552709897944986,case4,1.0
320,0.5,30.0,6.0,80.0,0.9491245135247441,case4,0.0
321,0.5,30.0,6.0,80.0,0.9501600755727347,case4,1.0
322,0.5,40.0,6.0,80.0,0.9523640391697622,case4,0.0
323,0.5,40.0,6.0,80.0,0.9535145665390246,case4,1.0
324,0.5,50.0,6.0,80.0,0.954072780331886,case4,0.0
325,0.5,50.0,6.0,80.0,0.9544269043104435,case4,1.0
326,0.5,60.0,6.0,80.0,0.9547769445533314,case4,0.0
327,0.5,60.0,6.0,80.0,0.9537627331173594,case4,1.0
328,0.5,70.0,6.0,80.0,0.9569820854844787,case4,0.0
329,0.5,70.0,6.0,80.0,0.9577709689358798,case4,1.0
330,0.1,30.0,7.0,80.0,0.9382332388860011,case4,0.0
331,0.1,30.0,7.0,80.0,0.9386535599972691,case4,1.0
332,0.1,40.0,7.0,80.0,0.9412488634964801,case4,0.0
333,0.1,40.0,7.0,80.0,0.9424762426770013,case4,1.0
334,0.1,50.0,7.0,80.0,0.9455007788505062,case4,0.0
335,0.1,50.0,7.0,80.0,0.9457304470994676,case4,1.0
336,0.1,60.0,7.0,80.0,0.9483882596183888,case4,0.0
337,0.1,60.0,7.0,80.0,0.9487437813192038,case4,1.0
338,0.1,70.0,7.0,80.0,0.9507663496409486,case4,0.0
339,0.1,70.0,7.0,80.0,0.9493319648690447,case4,1.0
340,0.3,30.0,7.0,80.0,0.9508903928039298,case4,0.0
341,0.3,30.0,7.0,80.0,0.9502166357678037,case4,1.0
342,0.3,40.0,7.0,80.0,0.9530762108529058,case4,0.0
343,0.3,40.0,7.0,80.0,0.9522227512509847,case4,1.0
344,0.3,50.0,7.0,80.0,0.9563725016998577,case4,0.0
345,0.3,50.0,7.0,80.0,0.9556402552281655,case4,1.0
346,0.3,60.0,7.0,80.0,0.955896191700116,case4,0.0
347,0.3,60.0,7.0,80.0,0.9562214696225823,case4,1.0
348,0.3,70.0,7.0,80.0,0.9558535385507196,case4,0.0
349,0.3,70.0,7.0,80.0,0.9535765385636322,case4,1.0
350,0.5,30.0,7.0,80.0,0.9518429728349729,case4,0.0
351,0.5,30.0,7.0,80.0,0.9497645619635076,case4,1.0
